Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
15.0,-3.0,0.0,3.1651386768800363,-0.05504622562667816,0.0,15.0
15.0,-3.0,0.01,3.5030901683249245,-0.09392335598060964,0.016666666666666666,15.15873506008353
15.0,-3.0,0.02,3.5590039617359834,-0.07154398882720425,0.03333333333333333,15.29349727998158
15.0,-3.0,0.030000000000000002,3.5831498534828166,-0.05650320648514502,0.05,15.413754479909755
15.0,-3.0,0.04,3.5955690193434084,-0.04738607738178713,0.06666666666666667,15.522417487125779
15.0,-3.0,0.049999999999999996,3.6026232799159548,-0.04188903166816689,0.08333333333333333,15.621188792174735
15.0,-3.0,0.06,3.606973063420586,-0.03847909149513488,0.1,15.711268279679587
15.0,-3.0,0.06999999999999999,3.609901930106421,-0.036258747454741336,0.11666666666666667,15.793574585240265
15.0,-3.0,0.07999999999999999,3.6120956391990084,-0.03472819665820707,0.13333333333333333,15.868878963395673
15.0,-3.0,0.08999999999999998,3.6139747613266104,-0.03362296519425293,0.15,15.937833297665634
15.0,-3.0,0.09999999999999998,3.615902341722995,-0.03282967748868174,0.16666666666666666,16.000508245411766
15.0,-3.0,0.10999999999999997,3.618375636858079,-0.03235532615001239,0.18333333333333332,16.05839027454408
15.0,-3.0,0.11999999999999998,3.6221998157541098,-0.03230857172524315,0.2,16.111487001203727
15.0,-3.0,0.12999999999999998,3.628177556380424,-0.032715814502513776,0.21666666666666667,16.160165575131316
15.0,-3.0,0.13999999999999999,3.635829976191051,-0.03308059471487142,0.23333333333333334,16.204764559175203
15.0,-3.0,0.15,3.6434409352947092,-0.03271773380914548,0.25,16.24561265151044
15.0,-3.0,0.15999999999999998,3.6507260767510843,-0.03204069379260736,0.26666666666666666,16.282989931140776
15.0,-3.0,0.16999999999999998,3.658538488334404,-0.03174031562453831,0.2833333333333333,16.317165832101296
15.0,-3.0,0.18,3.6661527564446157,-0.031309162220570855,0.3,16.34839197129429
15.0,-3.0,0.19,3.672218979441042,-0.03029525283250134,0.31666666666666665,16.3766360278251
15.0,-3.0,0.2,3.67740956887139,-0.029454747183566,0.3333333333333333,16.402594490325384
